CustomerID,CustomerName,EstimatedTime
C140,Queenie,119
C187,Yara,119
C110,Sara,119
C109,Frank,117
C123,Paul,117
C200,Zack,116
C183,Grace,115
C125,Ella,115
C189,Sara,115
C173,Victor,114
C182,Sara,113
C169,Olivia,113
C176,Frank,112
C134,Ray,111
C146,Sara,108
C107,Sara,108
C126,Mona,106
C191,Mona,105
C152,Charlie,104
C114,Karen,103
C199,Zack,102
C153,Frank,101
C188,Alice,100
C196,Nate,97
C129,Xander,96
C130,Yara,96
C198,Uma,95
C184,Henry,94
C138,Mona,93
C131,Ray,93
C117,Charlie,93
C120,David,93
C155,Frank,92
C162,Sara,91
C194,David,91
C136,Uma,90
C108,Ella,89
C141,Jack,87
C161,Yara,85
C159,Wendy,82
C148,Tom,81
C112,Ella,77
C165,Wendy,77
C111,Ella,77
C147,Leo,77
C156,Alice,76
C137,Zack,73
C160,Karen,73
C168,David,72
C124,Karen,72
C163,Frank,69
C119,Mona,68
C154,Xander,67
C177,Charlie,67
C122,Jack,66
C127,Alice,66
C143,Paul,64
C158,Karen,64
C157,Frank,63
C105,Olivia,58
C167,Tom,58
C170,Charlie,58
C121,Alice,57
C192,Queenie,57
C115,Ray,57
C102,Karen,55
C186,Queenie,52
C166,Ray,51
C197,Henry,50
C145,Nate,50
C193,Uma,49
C180,Xander,44
C164,Karen,44
C135,Olivia,43
C190,Paul,43
C181,Jack,43
C116,Ray,43
C172,Xander,42
C149,Nate,42
C185,Wendy,38
C175,David,38
C151,Olivia,35
C132,Frank,34
C101,Tom,31
C106,Ray,30
C118,Victor,29
C178,Karen,29
C174,Henry,26
C113,Nate,25
C139,Alice,24
C150,Paul,23
C133,Yara,20
C144,Leo,19
C128,Alice,18
C195,Ray,18
C142,Yara,17
C179,Xander,17
C104,Mona,17
C103,Zack,17
C171,Queenie,15
